rank,epoch,idea_id,title,val_loss,components,technique
1,1,1,Rotary Positional Embeddings (RoPE),3.69,"Attention, Positional Encoding",Addition
2,5,6,Rotary Positional Embeddings (RoPE),3.6905,Positional Encoding,Replacement
3,6,1,2. Rotary Positional Embeddings (RoPE),3.692,Positional Encoding,Replacement
4,2,12,Polynomial Learning Rate Decay,3.6924,LR Schedule,Hyperparameter Tuning
5,5,0,Add Learnable Scale to RMSNorm,3.6932,Normalization,Replacement
6,0,9,Tune AdamW Beta2,3.6971,Optimizer,Hyperparameter Tuning
7,1,3,Pad Vocabulary Size to 50304,3.6974,Embedding,Throughput/Systems
8,3,0,Learnable RMSNorm,3.6976,Normalization,Replacement
9,4,1,Trainable RMSNorm,3.6994,Normalization,Replacement
10,1,8,Fused AdamW,3.7,Optimizer,Throughput/Systems
11,2,2,SwiGLU MLP,3.7007,"MLP / Activation, Init / Architecture",Replacement
12,4,19,Learnable Output Scaling,3.7007,Init / Architecture,Addition
13,1,16,Exclude Embeddings from Weight Decay,3.7008,"Embedding, Optimizer",Removal
14,1,4,Exclude Norms and Embeddings from Weight Decay,3.7017,"Normalization, Embedding, Optimizer",Hyperparameter Tuning
15,1,11,Foreach AdamW Optimizer,3.7019,Optimizer,Throughput/Systems
16,2,4,Fused AdamW,3.703,Optimizer,Throughput/Systems
17,6,9,10. Increase AdamW Beta2,3.7033,"Optimizer, Init / Architecture",Hyperparameter Tuning
18,2,17,Reduced Weight Decay,3.704,Optimizer,Hyperparameter Tuning
19,3,8,AdamW Beta2 Tuning (0.99),3.7042,Optimizer,Hyperparameter Tuning
20,4,15,Inverse Square Root Schedule,3.7051,LR Schedule,Hyperparameter Tuning
